day,month,year,category,number of vehicles,number of sites,,19718.82095
1,2,2019,0,625,296,,
1,2,2019,1,18759,296,2660.781993,
1,2,2019,2,5836771,296,19718.82095,
1,2,2019,3,820076,296,,
1,2,2019,4,51419,296,,
1,2,2019,5,185569,296,,
1,2,2019,6,324736,296,,
1,2,2019,7,30645,296,,
2,2,2019,0,298,296,,
2,2,2019,1,14533,296,,
2,2,2019,2,4609957,296,,
2,2,2019,3,462941,296,,
2,2,2019,4,38114,296,,
2,2,2019,5,64456,296,,
2,2,2019,6,118115,296,,
2,2,2019,7,23241,296,,
3,2,2019,0,216,297,,
3,2,2019,1,12639,297,,
3,2,2019,2,4629578,297,,
3,2,2019,3,344918,297,,
3,2,2019,4,34671,297,,
3,2,2019,5,27996,297,,
3,2,2019,6,62593,297,,
3,2,2019,7,13993,297,,
4,2,2019,0,704,297,,
4,2,2019,1,19746,297,,
4,2,2019,2,5406952,297,,
4,2,2019,3,791318,297,,
4,2,2019,4,48044,297,,
4,2,2019,5,183257,297,,
4,2,2019,6,331655,297,,
4,2,2019,7,31070,297,,
5,2,2019,0,723,297,,
5,2,2019,1,19055,297,,
5,2,2019,2,5434597,297,,
5,2,2019,3,793671,297,,
5,2,2019,4,48215,297,,
5,2,2019,5,191887,297,,
5,2,2019,6,343620,297,,
5,2,2019,7,31423,297,,
6,2,2019,0,1073,297,,
6,2,2019,1,20698,297,,
6,2,2019,2,5648574,297,,
6,2,2019,3,817976,297,,
6,2,2019,4,50220,297,,
6,2,2019,5,195605,297,,
6,2,2019,6,344355,297,,
6,2,2019,7,33150,297,,
7,2,2019,0,557,297,,
7,2,2019,1,20686,297,,
7,2,2019,2,5770190,297,,
7,2,2019,3,831260,297,,
7,2,2019,4,50348,297,,
7,2,2019,5,196866,297,,
7,2,2019,6,346181,297,,
7,2,2019,7,32240,297,,
8,2,2019,0,535,297,,
8,2,2019,1,19739,297,,
8,2,2019,2,5997862,297,,
8,2,2019,3,820916,297,,
8,2,2019,4,52372,297,,
8,2,2019,5,184729,297,,
8,2,2019,6,317640,297,,
8,2,2019,7,29700,297,,
9,2,2019,0,224,297,,
9,2,2019,1,15920,297,,
9,2,2019,2,4826147,297,,
9,2,2019,3,472781,297,,
9,2,2019,4,40863,297,,
