day,month,year,category,number of vehicles,number of sites
1,2,2020,0,196,336
1,2,2020,1,10952,336
1,2,2020,2,3158938,336
1,2,2020,3,313018,336
1,2,2020,4,26010,336
1,2,2020,5,50837,336
1,2,2020,6,74047,336
1,2,2020,7,15834,336
2,2,2020,0,122,336
2,2,2020,1,9831,336
2,2,2020,2,3111047,336
2,2,2020,3,229216,336
2,2,2020,4,22693,336
2,2,2020,5,29537,336
2,2,2020,6,42331,336
2,2,2020,7,10227,336
3,2,2020,0,517,336
3,2,2020,1,13285,336
3,2,2020,2,3420455,336
3,2,2020,3,512826,336
3,2,2020,4,30425,336
3,2,2020,5,128616,336
3,2,2020,6,215896,336
3,2,2020,7,19176,336
4,2,2020,0,823,336
4,2,2020,1,13729,336
4,2,2020,2,3514442,336
4,2,2020,3,526502,336
4,2,2020,4,29624,336
4,2,2020,5,136397,336
4,2,2020,6,223591,336
4,2,2020,7,20665,336
5,2,2020,0,578,336
5,2,2020,1,13809,336
5,2,2020,2,3476551,336
5,2,2020,3,519721,336
5,2,2020,4,30770,336
5,2,2020,5,135327,336
5,2,2020,6,218716,336
5,2,2020,7,19979,336
6,2,2020,0,361,336
6,2,2020,1,14540,336
6,2,2020,2,3618793,336
6,2,2020,3,539629,336
6,2,2020,4,31300,336
6,2,2020,5,138872,336
6,2,2020,6,223828,336
6,2,2020,7,20968,336
7,2,2020,0,318,336
7,2,2020,1,14177,336
7,2,2020,2,3831582,336
7,2,2020,3,547792,336
7,2,2020,4,32433,336
7,2,2020,5,134394,336
7,2,2020,6,218710,336
7,2,2020,7,20449,336
8,2,2020,0,171,336
8,2,2020,1,9376,336
8,2,2020,2,3068428,336
8,2,2020,3,299215,336
8,2,2020,4,24117,336
8,2,2020,5,49026,336
8,2,2020,6,77242,336
8,2,2020,7,14178,336
9,2,2020,0,136,336
9,2,2020,1,6467,336
9,2,2020,2,2544460,336
9,2,2020,3,191428,336
9,2,2020,4,19827,336
9,2,2020,5,26831,336
9,2,2020,6,39554,336
9,2,2020,7,5184,336
10,2,2020,0,335,336
10,2,2020,1,11199,336
10,2,2020,2,3210817,336
10,2,2020,3,476161,336
10,2,2020,4,27729,336
10,2,2020,5,116220,336
10,2,2020,6,189804,336
10,2,2020,7,15728,336
11,2,2020,0,321,336
11,2,2020,1,11747,336
11,2,2020,2,3427783,336
11,2,2020,3,527145,336
11,2,2020,4,29990,336
11,2,2020,5,141142,336
11,2,2020,6,217242,336
11,2,2020,7,18096,336
12,2,2020,0,377,336
12,2,2020,1,12264,336
12,2,2020,2,3538656,336
12,2,2020,3,529562,336
12,2,2020,4,31284,336
12,2,2020,5,135527,336
12,2,2020,6,209737,336
12,2,2020,7,18207,336
13,2,2020,0,707,336
13,2,2020,1,12634,336
13,2,2020,2,3443871,336
13,2,2020,3,516289,336
13,2,2020,4,30410,336
13,2,2020,5,131528,336
13,2,2020,6,210908,336
13,2,2020,7,18966,336
14,2,2020,0,546,337
14,2,2020,1,10686,337
14,2,2020,2,2850005,337
14,2,2020,3,435092,337
14,2,2020,4,24347,337
14,2,2020,5,112385,337
14,2,2020,6,177022,337
14,2,2020,7,16167,337
