day,month,year,category,number of vehicles,number of sites
29,3,2020,1,7,1
29,3,2020,2,3113,1
29,3,2020,3,379,1
29,3,2020,4,112,1
29,3,2020,5,51,1
29,3,2020,6,535,1
29,3,2020,7,38,1
23,3,2020,1,24,1
23,3,2020,2,14973,1
23,3,2020,3,3621,1
23,3,2020,4,257,1
23,3,2020,5,959,1
23,3,2020,6,3141,1
23,3,2020,7,189,1
19,3,2020,1,62,1
19,3,2020,2,16983,1
19,3,2020,3,3806,1
19,3,2020,4,304,1
19,3,2020,5,1043,1
19,3,2020,6,3445,1
19,3,2020,7,229,1
20,3,2020,1,31,1
20,3,2020,2,17873,1
20,3,2020,3,3979,1
20,3,2020,4,322,1
20,3,2020,5,1024,1
20,3,2020,6,3492,1
20,3,2020,7,215,1
27,3,2020,1,28,1
27,3,2020,2,13581,1
27,3,2020,3,3321,1
27,3,2020,4,200,1
27,3,2020,5,860,1
27,3,2020,6,2976,1
27,3,2020,7,240,1
17,3,2020,1,13,1
17,3,2020,2,10914,1
17,3,2020,3,1348,1
17,3,2020,4,254,1
17,3,2020,5,269,1
17,3,2020,6,1739,1
17,3,2020,7,100,1
22,3,2020,1,29,1
22,3,2020,2,10457,1
22,3,2020,3,837,1
22,3,2020,4,223,1
22,3,2020,5,101,1
22,3,2020,6,695,1
22,3,2020,7,76,1
16,3,2020,1,34,1
16,3,2020,2,18048,1
16,3,2020,3,3248,1
16,3,2020,4,393,1
16,3,2020,5,776,1
16,3,2020,6,3134,1
16,3,2020,7,184,1
22,2,2020,1,29,1
22,2,2020,2,25533,1
22,2,2020,3,2206,1
22,2,2020,4,444,1
22,2,2020,5,342,1
22,2,2020,6,920,1
22,2,2020,7,112,1
29,2,2020,1,30,1
29,2,2020,2,23149,1
29,2,2020,3,1955,1
29,2,2020,4,430,1
29,2,2020,5,303,1
29,2,2020,6,1009,1
29,2,2020,7,137,1
21,2,2020,1,33,1
21,2,2020,2,34149,1
21,2,2020,3,4857,1
21,2,2020,4,521,1
21,2,2020,5,1007,1
21,2,2020,6,2979,1
21,2,2020,7,217,1
17,2,2020,1,24,1
17,2,2020,2,30423,1
17,2,2020,3,4451,1
17,2,2020,4,473,1
17,2,2020,5,977,1
17,2,2020,6,3070,1
17,2,2020,7,164,1
23,2,2020,1,34,1
23,2,2020,2,25891,1
23,2,2020,3,1634,1
23,2,2020,4,390,1
23,2,2020,5,182,1
23,2,2020,6,672,1
23,2,2020,7,114,1
28,2,2020,1,34,1
28,2,2020,2,33330,1
28,2,2020,3,4851,1
28,2,2020,4,547,1
28,2,2020,5,986,1
28,2,2020,6,2986,1
28,2,2020,7,230,1
27,2,2020,1,32,1
27,2,2020,2,31482,1
27,2,2020,3,4663,1
27,2,2020,4,483,1
27,2,2020,5,1055,1
27,2,2020,6,3128,1
27,2,2020,7,207,1
7,4,2020,1,11,1
7,4,2020,2,5383,1
7,4,2020,3,1307,1
7,4,2020,4,128,1
7,4,2020,5,354,1
7,4,2020,6,2149,1
7,4,2020,7,66,1
20,2,2020,1,30,1
20,2,2020,2,32979,1
20,2,2020,3,4590,1
20,2,2020,4,480,1
20,2,2020,5,1030,1
20,2,2020,6,3226,1
20,2,2020,7,248,1
26,2,2020,1,21,1
26,2,2020,2,28793,1
26,2,2020,3,4448,1
26,2,2020,4,481,1
26,2,2020,5,955,1
26,2,2020,6,3216,1
26,2,2020,7,220,1
24,2,2020,1,25,1
24,2,2020,2,28563,1
24,2,2020,3,4366,1
24,2,2020,4,486,1
24,2,2020,5,893,1
24,2,2020,6,3011,1
24,2,2020,7,158,1
25,2,2020,1,27,1
25,2,2020,2,28682,1
25,2,2020,3,4281,1
25,2,2020,4,465,1
25,2,2020,5,953,1
25,2,2020,6,3227,1
25,2,2020,7,180,1
19,2,2020,1,31,1
19,2,2020,2,31042,1
19,2,2020,3,4431,1
19,2,2020,4,478,1
19,2,2020,5,1036,1
19,2,2020,6,3090,1
19,2,2020,7,162,1
18,2,2020,1,39,1
18,2,2020,2,30385,1
18,2,2020,3,4395,1
18,2,2020,4,485,1
18,2,2020,5,973,1
18,2,2020,6,3137,1
18,2,2020,7,170,1
15,2,2020,1,24,1
15,2,2020,2,22794,1
15,2,2020,3,1933,1
15,2,2020,4,421,1
15,2,2020,5,303,1
15,2,2020,6,971,1
15,2,2020,7,98,1
16,2,2020,1,13,1
16,2,2020,2,23772,1
16,2,2020,3,1350,1
16,2,2020,4,364,1
16,2,2020,5,139,1
16,2,2020,6,620,1
16,2,2020,7,87,1
14,3,2020,1,29,1
14,3,2020,2,16467,1
14,3,2020,3,1643,1
14,3,2020,4,325,1
14,3,2020,5,313,1
14,3,2020,6,1289,1
14,3,2020,7,153,1
13,3,2020,1,47,1
13,3,2020,2,25684,1
13,3,2020,3,4552,1
13,3,2020,4,479,1
13,3,2020,5,1058,1
13,3,2020,6,3194,1
13,3,2020,7,233,1
10,3,2020,1,35,1
10,3,2020,2,28388,1
10,3,2020,3,4288,1
10,3,2020,4,495,1
10,3,2020,5,1015,1
10,3,2020,6,3184,1
10,3,2020,7,200,1
11,3,2020,1,34,1
11,3,2020,2,27887,1
11,3,2020,3,4329,1
11,3,2020,4,503,1
11,3,2020,5,1113,1
11,3,2020,6,3512,1
11,3,2020,7,194,1
12,3,2020,1,29,1
12,3,2020,2,27682,1
12,3,2020,3,4380,1
12,3,2020,4,483,1
12,3,2020,5,1211,1
12,3,2020,6,3239,1
12,3,2020,7,188,1
9,3,2020,1,39,1
9,3,2020,2,29458,1
9,3,2020,3,4247,1
9,3,2020,4,511,1
9,3,2020,5,1063,1
9,3,2020,6,3135,1
9,3,2020,7,213,1
8,3,2020,1,33,1
8,3,2020,2,25478,1
8,3,2020,3,1581,1
8,3,2020,4,389,1
8,3,2020,5,224,1
8,3,2020,6,715,1
8,3,2020,7,98,1
6,3,2020,1,33,1
6,3,2020,2,33054,1
6,3,2020,3,4930,1
6,3,2020,4,546,1
6,3,2020,5,1059,1
6,3,2020,6,3141,1
6,3,2020,7,245,1
5,3,2020,1,33,1
5,3,2020,2,30997,1
5,3,2020,3,4509,1
5,3,2020,4,507,1
5,3,2020,5,1139,1
5,3,2020,6,3390,1
5,3,2020,7,232,1
4,3,2020,1,32,1
4,3,2020,2,29256,1
4,3,2020,3,4484,1
4,3,2020,4,526,1
4,3,2020,5,1117,1
4,3,2020,6,3404,1
4,3,2020,7,226,1
3,3,2020,1,37,1
3,3,2020,2,29567,1
3,3,2020,3,4394,1
3,3,2020,4,497,1
3,3,2020,5,1100,1
3,3,2020,6,3358,1
3,3,2020,7,189,1
1,3,2020,1,28,1
1,3,2020,2,24974,1
1,3,2020,3,1595,1
1,3,2020,4,412,1
1,3,2020,5,178,1
1,3,2020,6,666,1
1,3,2020,7,73,1
2,3,2020,1,22,1
2,3,2020,2,28486,1
2,3,2020,3,4395,1
