day,month,year,category,number of vehicles,number of sites
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,1
27,2,2019,1,289,1
27,2,2019,2,0,1
27,2,2019,3,0,1
27,2,2019,4,0,1
27,2,2019,5,0,1
27,2,2019,6,0,1
27,2,2019,7,0,1
27,2,2019,0,0,2
27,2,2019,1,289,2
27,2,2019,2,4993,2
27,2,2019,3,0,2
27,2,2019,4,0,2
27,2,2019,5,0,2
27,2,2019,6,0,2
27,2,2019,7,0,2
27,2,2019,0,0,2
27,2,2019,1,289,2
27,2,2019,2,4993,2
27,2,2019,3,0,2
27,2,2019,4,0,2
27,2,2019,5,0,2
27,2,2019,6,0,2
27,2,2019,7,0,2
27,2,2019,0,0,2
27,2,2019,1,289,2
27,2,2019,2,4993,2
27,2,2019,3,0,2
27,2,2019,4,0,2
27,2,2019,5,0,2
27,2,2019,6,0,2
27,2,2019,7,0,2
27,2,2019,0,0,2
27,2,2019,1,289,2
27,2,2019,2,4993,2
27,2,2019,3,0,2
27,2,2019,4,0,2
27,2,2019,5,0,2
27,2,2019,6,0,2
27,2,2019,7,0,2
27,2,2019,0,0,2
