cosit,class,year,month,day,VehicleCount
1045,6,2019,2,11,692
1256,6,2019,2,11,2123
1712,2,2019,2,11,11975
20093,3,2019,2,11,1162
200714,5,2019,2,11,191
1092,6,2019,2,11,1394
1201,5,2019,2,11,315
3804,4,2019,2,11,112
20023,7,2019,2,11,62
20201,5,2019,2,11,553
20811,6,2019,2,11,172
20114,4,2019,2,11,153
20222,3,2019,2,11,2119
20094,4,2019,2,11,83
20243,5,2019,2,11,358
1112,4,2019,2,11,116
1504,7,2019,2,11,410
1506,1,2019,2,11,255
1624,1,2019,2,11,1
20203,4,2019,2,11,237
20094,7,2019,2,11,98
1311,4,2019,2,11,167
20045,4,2019,2,11,56
1041,7,2019,2,11,111
20186,4,2019,2,11,77
3804,7,2019,2,11,93
1611,7,2019,2,11,69
1871,5,2019,2,11,55
1691,4,2019,2,11,13
200716,1,2019,2,11,12
1511,4,2019,2,11,12
1508,0,2019,2,11,19
1592,4,2019,2,11,11
1041,3,2019,2,11,2908
1121,6,2019,2,11,227
1751,5,2019,2,11,96
3111,4,2019,2,11,130
10113,3,2019,2,11,3096
15012,6,2019,2,11,1302
20083,3,2019,2,11,1577
20111,6,2019,2,11,1325
20201,6,2019,2,11,878
20212,3,2019,2,11,2016
20243,3,2019,2,11,1870
200713,3,2019,2,11,4939
200716,2,2019,2,11,8351
1871,6,2019,2,11,41
20222,4,2019,2,11,113
20908,7,2019,2,11,109
1014,1,2019,2,11,610
1044,4,2019,2,11,696
1071,1,2019,2,11,278
1141,5,2019,2,11,247
1602,2,2019,2,11,3532
20257,4,2019,2,11,197
20024,5,2019,2,11,196
20076,1,2019,2,11,46
20241,5,2019,2,11,267
200717,7,2019,2,11,78
1022,1,2019,2,11,39
1092,7,2019,2,11,119
1741,6,2019,2,11,118
1035,4,2019,2,11,70
1221,1,2019,2,11,32
1045,7,2019,2,11,69
1812,7,2019,2,11,67
1055,1,2019,2,11,11
3173,1,2019,2,11,6
1121,2,2019,2,11,3258
1281,4,2019,2,11,79
15012,2,2019,2,11,39712
20011,6,2019,2,11,4752
20014,5,2019,2,11,1060
20061,2,2019,2,11,12545
20119,4,2019,2,11,145
31031,6,2019,2,11,3137
20079,5,2019,2,11,842
20251,6,2019,2,11,463
200711,2,2019,2,11,2619
1021,7,2019,2,11,90
1693,6,2019,2,11,101
20024,4,2019,2,11,60
1801,2,2019,2,11,4173
1500,7,2019,2,11,488
20033,6,2019,2,11,96
1622,4,2019,2,11,31
1631,4,2019,2,11,23
20801,5,2019,2,11,253
1141,4,2019,2,11,53
1509,7,2019,2,11,447
20044,7,2019,2,11,140
20205,1,2019,2,11,95
1661,5,2019,2,11,52
1842,5,2019,2,11,98
1102,7,2019,2,11,34
20241,1,2019,2,11,14
20563,1,2019,2,11,9
1182,1,2019,2,11,82
20521,4,2019,2,11,16
1014,0,2019,2,11,12
20562,1,2019,2,11,2
1751,1,2019,2,11,1
20257,0,2019,2,11,1
20222,0,2019,2,11,6
1072,4,2019,2,11,723
1201,2,2019,2,11,8032
1223,3,2019,2,11,2441
1505,2,2019,2,11,102895
1523,5,2019,2,11,173
1741,2,2019,2,11,3340
3801,6,2019,2,11,965
10113,2,2019,2,11,17742
20011,3,2019,2,11,11662
20042,2,2019,2,11,34551
20074,6,2019,2,11,3055
20243,2,2019,2,11,14043
20522,5,2019,2,11,182
31061,3,2019,2,11,4595
200714,2,2019,2,11,16136
200719,3,2019,2,11,1838
200720,6,2019,2,11,1401
1632,2,2019,2,11,3844
1761,6,2019,2,11,325
1871,2,2019,2,11,1148
3801,3,2019,2,11,1223
3802,5,2019,2,11,354
20063,4,2019,2,11,165
1072,7,2019,2,11,598
3171,5,2019,2,11,307
1053,4,2019,2,11,17
20224,5,2019,2,11,234
1679,7,2019,2,11,31
1832,6,2019,2,11,11
1281,7,2019,2,11,77
20064,0,2019,2,11,19
20115,1,2019,2,11,49
1054,1,2019,2,11,10
1058,1,2019,2,11,9
200717,1,2019,2,11,11
1081,0,2019,2,11,1
1044,0,2019,2,11,3
1014,2,2019,2,11,113762
1024,7,2019,2,11,86
1081,2,2019,2,11,30701
1782,2,2019,2,11,4049
20034,2,2019,2,11,9759
20061,4,2019,2,11,185
20063,6,2019,2,11,1143
20241,6,2019,2,11,824
20562,3,2019,2,11,408
20563,3,2019,2,11,832
1223,5,2019,2,11,889
15012,4,2019,2,11,137
20042,4,2019,2,11,331
20241,3,2019,2,11,1378
1871,7,2019,2,11,15
20022,7,2019,2,11,119
1043,7,2019,2,11,84
1261,4,2019,2,11,55
1321,1,2019,2,11,108
20802,5,2019,2,11,275
200721,1,2019,2,11,34
20243,4,2019,2,11,83
1505,7,2019,2,11,399
1581,5,2019,2,11,126
20117,1,2019,2,11,26
1632,4,2019,2,11,11
1201,4,2019,2,11,96
20112,7,2019,2,11,197
20905,1,2019,2,11,40
20906,1,2019,2,11,22
1611,1,2019,2,11,62
1624,0,2019,2,11,1
1591,1,2019,2,11,12
1054,3,2019,2,11,639
1054,6,2019,2,11,499
1055,2,2019,2,11,3155
1070,5,2019,2,11,2397
1221,2,2019,2,11,10769
1243,2,2019,2,11,5831
1505,4,2019,2,11,356
1561,5,2019,2,11,286
3173,2,2019,2,11,7614
10113,4,2019,2,11,127
20024,6,2019,2,11,723
20064,2,2019,2,11,12461
20115,3,2019,2,11,2330
20205,3,2019,2,11,4252
20301,2,2019,2,11,4278
20908,3,2019,2,11,1183
200714,4,2019,2,11,134
1182,3,2019,2,11,1171
1751,3,2019,2,11,558
200717,3,2019,2,11,2191
1141,6,2019,2,11,386
200713,4,2019,2,11,219
20051,5,2019,2,11,183
200723,1,2019,2,11,181
20047,1,2019,2,11,338
3804,1,2019,2,11,23
20066,5,2019,2,11,47
1058,3,2019,2,11,362
1622,6,2019,2,11,146
200711,4,2019,2,11,60
1801,4,2019,2,11,48
1504,1,2019,2,11,187
20116,7,2019,2,11,101
20045,1,2019,2,11,29
201082,7,2019,2,11,47
20111,7,2019,2,11,243
1594,5,2019,2,11,33
1721,5,2019,2,11,89
20023,1,2019,2,11,21
1851,7,2019,2,11,37
20201,7,2019,2,11,64
20094,1,2019,2,11,11
3805,7,2019,2,11,2
1121,4,2019,2,11,29
1741,4,2019,2,11,6
1871,4,2019,2,11,4
20186,1,2019,2,11,4
1506,0,2019,2,11,1
1036,6,2019,2,11,581
1053,2,2019,2,11,3947
1086,6,2019,2,11,1518
1281,2,2019,2,11,23890
1500,2,2019,2,11,98974
1622,2,2019,2,11,3184
1631,2,2019,2,11,3152
3171,3,2019,2,11,1501
20018,5,2019,2,11,758
20063,2,2019,2,11,12817
20079,3,2019,2,11,3643
20172,5,2019,2,11,485
1501,4,2019,2,11,806
3172,5,2019,2,11,259
15001,5,2019,2,11,2051
20074,4,2019,2,11,344
20221,3,2019,2,11,1021
20224,3,2019,2,11,1305
31041,6,2019,2,11,153
20522,3,2019,2,11,853
1722,5,2019,2,11,121
20223,6,2019,2,11,135
1252,4,2019,2,11,108
1012,7,2019,2,11,190
1057,7,2019,2,11,79
3801,1,2019,2,11,12
3182,4,2019,2,11,36
1173,5,2019,2,11,167
20242,5,2019,2,11,204
1831,4,2019,2,11,10
31061,1,2019,2,11,55
20088,7,2019,2,11,92
1222,7,2019,2,11,76
20591,6,2019,2,11,12
1522,4,2019,2,11,24
1681,5,2019,2,11,101
1111,7,2019,2,11,81
20251,4,2019,2,11,43
1043,0,2019,2,11,5
1505,0,2019,2,11,3
20111,0,2019,2,11,2
1693,4,2019,2,11,2
20112,0,2019,2,11,1
15012,0,2019,2,11,2
1011,4,2019,2,11,1349
1013,6,2019,2,11,201
1013,3,2019,2,11,4462
1072,2,2019,2,11,82115
1141,2,2019,2,11,9376
1253,7,2019,2,11,314
1503,3,2019,2,11,21867
1507,5,2019,2,11,1937
1711,3,2019,2,11,2319
1711,6,2019,2,11,503
15011,6,2019,2,11,1393
20024,2,2019,2,11,4083
20086,6,2019,2,11,1818
20119,2,2019,2,11,16699
20223,3,2019,2,11,1839
20253,6,2019,2,11,988
20521,2,2019,2,11,4072
31031,4,2019,2,11,475
200171,6,2019,2,11,2859
20032,6,2019,2,11,175
20182,5,2019,2,11,597
20202,6,2019,2,11,676
20801,3,2019,2,11,1138
20907,7,2019,2,11,80
200720,4,2019,2,11,171
1501,7,2019,2,11,422
1523,3,2019,2,11,428
1842,3,2019,2,11,541
1761,4,2019,2,11,41
20183,7,2019,2,11,157
20907,4,2019,2,11,57
20011,1,2019,2,11,242
200719,1,2019,2,11,180
1051,5,2019,2,11,179
20036,5,2019,2,11,95
1593,7,2019,2,11,66
31041,3,2019,2,11,333
20033,4,2019,2,11,96
1052,5,2019,2,11,233
20255,7,2019,2,11,89
1223,1,2019,2,11,58
1242,7,2019,2,11,91
200812,7,2019,2,11,91
1271,7,2019,2,11,62
1701,7,2019,2,11,12
1173,3,2019,2,11,756
1252,2,2019,2,11,12688
1502,5,2019,2,11,4618
3182,2,2019,2,11,7357
20016,4,2019,2,11,272
20032,4,2019,2,11,125
20033,2,2019,2,11,7532
20071,4,2019,2,11,360
20074,2,2019,2,11,30978
20075,3,2019,2,11,4587
20087,6,2019,2,11,1904
20242,3,2019,2,11,907
20254,6,2019,2,11,90
31031,2,2019,2,11,27237
200720,2,2019,2,11,13294
1031,3,2019,2,11,420
1051,3,2019,2,11,746
1052,3,2019,2,11,1276
1211,4,2019,2,11,90
1701,2,2019,2,11,504
20086,4,2019,2,11,119
20153,5,2019,2,11,160
1033,7,2019,2,11,180
1036,4,2019,2,11,35
1723,3,2019,2,11,559
20253,4,2019,2,11,111
20016,7,2019,2,11,145
20185,4,2019,2,11,63
20078,7,2019,2,11,194
20524,4,2019,2,11,41
1113,7,2019,2,11,260
1651,7,2019,2,11,42
1717,7,2019,2,11,35
20067,7,2019,2,11,54
20118,7,2019,2,11,147
1509,0,2019,2,11,6
20119,0,2019,2,11,16
20522,1,2019,2,11,15
1842,1,2019,2,11,11
20591,4,2019,2,11,27
20221,1,2019,2,11,9
