"cosit","class","year","month","day","VehicleCount"
"000000001072","3","2020","2","3","6971"
"000000001102","3","2020","2","3","277"
"000000001256","2","2020","2","3","31393"
"000000001281","3","2020","2","3","1299"
"000000001509","3","2020","2","3","9549"
"000000020014","6","2020","2","3","1788"
"000000201321","6","2020","2","3","228"
"000000001021","3","2020","2","3","796"
"000000001661","6","2020","2","3","23"
"000000020255","5","2020","2","3","172"
"000000001223","4","2020","2","3","29"
"000000001679","3","2020","2","3","121"
"000000020251","5","2020","2","3","42"
"000000201082","1","2020","2","3","19"
"000000001223","7","2020","2","3","49"
"000000001222","5","2020","2","3","123"
"000000020802","4","2020","2","3","24"
"000000001504","0","2020","2","3","5"
"000000001251","5","2020","2","3","102"
"000000003172","2","2020","2","3","6357"
"000000020012","5","2020","2","3","911"
"000000202639","6","2020","2","3","130"
"000000001172","6","2020","2","3","186"
"000000020092","3","2020","2","3","1524"
"000000001692","3","2020","2","3","436"
"000000020036","2","2020","2","3","1368"
"000000020082","5","2020","2","3","194"
"000000001541","5","2020","2","3","107"
"000000020021","4","2020","2","3","236"
"000000020511","7","2020","2","3","22"
"000000001113","1","2020","2","3","124"
"000000003806","3","2020","2","3","27"
"000000001841","7","2020","2","3","23"
"000000202301","5","2020","2","3","68"
"000000001531","7","2020","2","3","23"
"000000001542","7","2020","2","3","18"
"000000202103","7","2020","2","3","20"
"000000001717","1","2020","2","3","4"
"000000001781","5","2020","2","3","28"
"000000020524","1","2020","2","3","10"
"000000001651","1","2020","2","3","1"
"000000020016","1","2020","2","3","2"
"000000001013","0","2020","2","3","2"
"000000001173","2","2020","2","3","2888"
"000000001502","4","2020","2","3","457"
"000000001508","6","2020","2","3","6742"
"000000020089","5","2020","2","3","288"
"000000020182","2","2020","2","3","12825"
"000000020621","6","2020","2","3","218"
"000000001623","2","2020","2","3","2253"
"000000001042","6","2020","2","3","183"
"000000201081","5","2020","2","3","261"
"000000001101","3","2020","2","3","387"
"000000020071","1","2020","2","3","180"
"000000020526","6","2020","2","3","72"
"000000001033","1","2020","2","3","249"
"000000020065","7","2020","2","3","153"
"000000001258","1","2020","2","3","116"
"000000001015","7","2020","2","3","77"
"000000001531","4","2020","2","3","14"
"000000001241","7","2020","2","3","45"
"000000020701","7","2020","2","3","10"
"000000001715","7","2020","2","3","28"
"000000020256","1","2020","2","3","31"
"000000001694","1","2020","2","3","1"
"000000001014","4","2020","2","3","1177"
"000000001017","4","2020","2","3","279"
"000000020041","2","2020","2","3","25671"
"000000020908","5","2020","2","3","141"
"000000202104","2","2020","2","3","3596"
"000000001624","2","2020","2","3","2083"
"000000020064","4","2020","2","3","90"
"000000020905","3","2020","2","3","1214"
"000000020023","3","2020","2","3","593"
"000000020115","5","2020","2","3","181"
"000000001133","1","2020","2","3","8"
"000000020117","3","2020","2","3","789"
"000000001055","4","2020","2","3","15"
"000000001081","4","2020","2","3","201"
"000000001132","1","2020","2","3","48"
"000000020222","7","2020","2","3","65"
"000000001191","7","2020","2","3","31"
"000000001221","4","2020","2","3","29"
"000000015002","0","2020","2","3","3"
"000000001041","6","2020","2","3","306"
"000000001224","2","2020","2","3","8921"
"000000001401","3","2020","2","3","6811"
"000000001811","2","2020","2","3","5109"
"000000020243","6","2020","2","3","321"
"000000200723","3","2020","2","3","9078"
"000000001621","2","2020","2","3","3960"
"000000003114","4","2020","2","3","144"
"000000020094","3","2020","2","3","748"
"000000200713","6","2020","2","3","922"
"000000001201","6","2020","2","3","398"
"000000001256","5","2020","2","3","869"
"000000020034","4","2020","2","3","79"
"000000001058","5","2020","2","3","111"
"000000001751","5","2020","2","3","61"
"000000020301","4","2020","2","3","9"
"000000003111","7","2020","2","3","90"
"000000001302","7","2020","2","3","42"
"000000020811","5","2020","2","3","60"
"000000001782","7","2020","2","3","19"
"000000020525","1","2020","2","3","30"
"000000020081","7","2020","2","3","26"
"000000001671","1","2020","2","3","2"
"000000001045","6","2020","2","3","363"
"000000020111","5","2020","2","3","777"
"000000020061","5","2020","2","3","220"
"000000005045","7","2020","2","3","42"
"000000020906","4","2020","2","3","58"
"000000200811","4","2020","2","3","110"
"000000003111","3","2020","2","3","1532"
"000000020203","4","2020","2","3","141"
"000000001782","3","2020","2","3","276"
"000000001671","2","2020","2","3","416"
"000000020243","5","2020","2","3","191"
"000000001112","4","2020","2","3","57"
"000000003804","7","2020","2","3","51"
"000000020811","6","2020","2","3","42"
"000000001027","4","2020","2","3","36"
"000000020094","7","2020","2","3","39"
"000000001085","1","2020","2","3","4"
"000000001601","7","2020","2","3","16"
"000000020117","7","2020","2","3","7"
"000000020526","0","2020","2","3","3"
"000000001023","2","2020","2","3","7175"
"000000001504","3","2020","2","3","8701"
"000000020042","6","2020","2","3","2162"
"000000020047","3","2020","2","3","5759"
"000000020186","3","2020","2","3","839"
"000000020212","6","2020","2","3","229"
"000000001171","2","2020","2","3","4285"
"000000005045","3","2020","2","3","1220"
"000000020061","6","2020","2","3","695"
"000000001038","4","2020","2","3","46"
"000000001243","4","2020","2","3","22"
